official_scenic_id,scenic_name,theme_name_cn,is_satisfaction_topic,theme_review_n,theme_issue_n,theme_high_rating_issue_n,theme_negative_n,theme_avg_sentiment_score,theme_avg_topic_prob,sample_n,priority_score,priority_rank,theme_review_share_total,theme_issue_share_total,theme_high_rating_issue_share_total,theme_negative_share_total,theme_issue_rate_within_theme,theme_negative_rate_within_theme,theme_problem_strength,importance,scenic_gap,scenic_performance,importance_cut,gap_cut,quadrant,scenic_priority_index,scenic_priority_rank
BJ20_12,红螺寺,票务预约与入园体验,0,110,8,7,10,0.8114576890174914,0.699013009414291,300,0.1298617499432307,19,0.36666666666666664,0.02666666666666667,0.023333333333333334,0.03333333333333333,0.07272727272727272,0.09090909090909091,0.02666666666666667,1.0,1.0,0.0,0.3353494338079965,0.4166666666666667,高重要性高缺口 = 优先改进,1.0,1
BJ20_12,红螺寺,交通与开放空间体验,0,18,2,1,1,0.8903913686847823,0.5505155707064606,300,0.1298617499432307,19,0.06,0.006666666666666667,0.0033333333333333335,0.0033333333333333335,0.1111111111111111,0.05555555555555555,0.006666666666666667,0.006048301423989402,0.25,0.75,0.3353494338079965,0.4166666666666667,低重要性低缺口 = 观察即可,0.0015120753559973504,2
BJ20_12,红螺寺,现场服务与导览体验,0,32,0,0,3,0.7782126009013208,0.7576788083104953,300,0.1298617499432307,19,0.10666666666666667,0.0,0.0,0.01,0.0,0.09375,0.0,0.0,0.0,1.0,0.3353494338079965,0.4166666666666667,低重要性低缺口 = 观察即可,0.0,3
