official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json,poi_zone
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_5139162489,node,5139162489,,public_service,public_service,39.9410886,116.329465,8.45,"{""amenity"": ""toilets""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_11168765931,node,11168765931,,food_retail,food_retail,39.9411018,116.3297794,21.31,"{""amenity"": ""fast_food""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_25375845,way,25375845,非洲动物区,nearby_attractions,nearby_attractions,39.9416875,116.3290849,81.77,"{""attraction"": ""animal"", ""name"": ""非洲动物区"", ""name:en"": ""African Animal Zone"", ""name:zh"": ""非洲动物区"", ""tourism"": ""attraction"", ""zoo"": ""enclosure""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_478457821,way,478457821,老鹰馆,nearby_attractions,nearby_attractions,39.9424761,116.3297559,160.6,"{""attraction"": ""animal"", ""name"": ""老鹰馆"", ""name:en"": ""Eagle"", ""name:ru"": ""Орлы"", ""name:zh"": ""老鹰馆"", ""tourism"": ""zoo"", ""zoo"": ""aviary""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_25375849,way,25375849,金丝猴馆,nearby_attractions,nearby_attractions,39.9401352,116.3278548,175.63,"{""attraction"": ""animal"", ""building"": ""yes"", ""name"": ""金丝猴馆"", ""name:en"": ""Golden Monkey Hall"", ""name:ru"": ""Обезьянки"", ""tourism"": ""attraction""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_1205163216,way,1205163216,儿童动物园,nearby_attractions,nearby_attractions,39.9416529,116.327351,198.82,"{""name"": ""儿童动物园"", ""tourism"": ""theme_park""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_5353276522,node,5353276522,,lodging,lodging,39.9403972,116.326773,246.71,"{""name:ru"": ""дом гориллы"", ""tourism"": ""guest_house""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_478432511,way,478432511,豳风堂,food_retail,food_retail,39.9406649,116.3325645,261.03,"{""amenity"": ""restaurant"", ""building"": ""yes"", ""name"": ""豳风堂"", ""name:en"": ""Bin Feng Tang""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_5139162490,node,5139162490,,public_service,public_service,39.9411387,116.3328554,282.66,"{""amenity"": ""toilets"", ""fee"": ""no""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_857823831,way,857823831,,public_service,public_service,39.9383148,116.3317717,357.81,"{""amenity"": ""toilets"", ""building"": ""toilets"", ""fee"": ""no"", ""wheelchair"": ""yes""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_8505553712,node,8505553712,动物园码头,transport,transport,39.9418982,116.3340225,393.66,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""动物园码头"", ""public_transport"": ""station""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_478432535,way,478432535,,parking,parking,39.9375772,116.3312821,412.74,"{""amenity"": ""parking""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820962,node,9721820962,动物园,bus,transport,39.9370685,116.3296406,441.81,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820964,node,9721820964,动物园,bus,transport,39.9370799,116.3299598,441.9,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820963,node,9721820963,动物园,bus,transport,39.9370685,116.3297962,442.26,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_1205163221,way,1205163221,,food_retail,food_retail,39.9421402,116.3345408,443.32,"{""amenity"": ""food_court"", ""building"": ""yes""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820960,node,9721820960,动物园,bus,transport,39.9371004,116.3305324,446.24,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1803850927,node,1803850927,动物园,transport,transport,39.937023,116.3298039,447.35,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820961,node,9721820961,动物园,bus,transport,39.9370675,116.3287166,447.42,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1803850919,node,1803850919,动物园,transport,transport,39.937017,116.3296439,447.54,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1803850942,node,1803850942,动物园,transport,transport,39.9370256,116.3299686,447.98,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1803850945,node,1803850945,动物园,transport,transport,39.9370588,116.330544,450.97,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1803850935,node,1803850935,动物园,transport,transport,39.9370131,116.3287126,453.44,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_910168396,node,910168396,,subway,transport,39.9373094,116.3320146,465.41,"{""check_date:wheelchair"": ""2023-07-19"", ""railway"": ""subway_entrance"", ""wheelchair"": ""yes""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_1205163224,way,1205163224,,food_retail,food_retail,39.9421237,116.3349032,472.62,"{""amenity"": ""food_court"", ""building"": ""yes""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_5139162488,node,5139162488,,public_service,public_service,39.9381858,116.3252892,481.96,"{""amenity"": ""toilets""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1548965444,node,1548965444,动物园,transport,transport,39.9366004,116.3295179,493.79,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1548965445,node,1548965445,动物园,transport,transport,39.9366005,116.3296897,493.93,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1253535253,node,1253535253,动物园,transport,transport,39.9365989,116.3293247,494.3,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1548965448,node,1548965448,动物园,transport,transport,39.9366016,116.3298914,494.55,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820958,node,9721820958,动物园,bus,transport,39.9365431,116.3294998,500.17,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820959,node,9721820959,动物园,bus,transport,39.936539,116.329312,501.0,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820957,node,9721820957,动物园,bus,transport,39.9365328,116.3296929,501.46,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721820956,node,9721820956,动物园,bus,transport,39.9365328,116.3298994,502.22,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_9721872987,node,9721872987,白石桥东,bus,transport,39.9371971,116.3264447,502.44,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""白石桥东"", ""name:zh"": ""白石桥东"", ""public_transport"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_1554253379,node,1554253379,白石桥东,transport,transport,39.9371475,116.3264418,507.27,"{""bus"": ""yes"", ""name"": ""白石桥东"", ""name:zh"": ""白石桥东"", ""public_transport"": ""stop_position""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_4893022365,node,4893022365,北京石刻艺术博物馆,nearby_attractions,nearby_attractions,39.943096,116.3242274,507.46,"{""name"": ""北京石刻艺术博物馆"", ""name:en"": ""Beijing Stone Carving Art Museum"", ""tourism"": ""museum""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_25375821,way,25375821,北京海洋馆,nearby_attractions,nearby_attractions,39.9432692,116.3347562,508.88,"{""building"": ""yes"", ""name"": ""北京海洋馆"", ""name:en"": ""Beijing Aquarium"", ""name:ru"": ""Аквариум"", ""name:zh"": ""北京海洋馆"", ""opening_hours"": ""Mo-Su 09:00-17:30"", ""tourism"": ""aquarium""}",internal
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_468464144,way,468464144,,parking,parking,39.9421676,116.3236307,519.32,"{""amenity"": ""parking""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_122003021,way,122003021,,transport,transport,39.9370165,116.3327077,522.59,"{""layer"": ""-4"", ""public_transport"": ""platform"", ""railway"": ""platform""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,way_189309767,way,189309767,,parking,parking,39.9452472,116.3323024,523.55,"{""access"": ""permissive"", ""amenity"": ""parking""}",external
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,node_3064819747,node,3064819747,汉拿山,food_retail,food_retail,39.937547,116.325409,524.53,"{""amenity"": ""restaurant"", ""cuisine"": ""asian;korean"", ""name"": ""汉拿山"", ""name:en"": ""Hannashan Korean Restaurant""}",external
