official_scenic_id,scenic_name,category_name,has_boundary_polygon,poi_zone,poi_n,transport_n,parking_n,food_retail_n,lodging_n,commercial_n,public_service_n,nearby_attractions_n
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1,external,785,487,44,121,25,11,83,14
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1,internal,18,1,1,5,1,0,5,5
