official_scenic_id,scenic_name,theme_name_cn,is_satisfaction_topic,theme_review_n,theme_issue_n,theme_high_rating_issue_n,theme_negative_n,theme_avg_sentiment_score,theme_avg_topic_prob,sample_n,priority_score,priority_rank,theme_review_share_total,theme_issue_share_total,theme_high_rating_issue_share_total,theme_negative_share_total,theme_issue_rate_within_theme,theme_negative_rate_within_theme,theme_problem_strength,importance,scenic_gap,scenic_performance,importance_cut,gap_cut,quadrant,scenic_priority_index,scenic_priority_rank
BJ20_14,北京天文馆,票务预约与入园体验,0,44,29,8,38,0.12444907354742588,0.5755758077124841,300,0.5505443682582035,8,0.14666666666666667,0.09666666666666666,0.02666666666666667,0.12666666666666668,0.6590909090909091,0.8636363636363636,0.09666666666666666,1.0,1.0,0.0,0.3353494338079965,0.6547619047619048,高重要性高缺口 = 优先改进,1.0,1
BJ20_14,北京天文馆,交通与开放空间体验,0,12,1,0,1,0.8765544302270079,0.6255192751437981,300,0.5505443682582035,8,0.04,0.0033333333333333335,0.0,0.0033333333333333335,0.08333333333333333,0.08333333333333333,0.0033333333333333335,0.006048301423989402,0.0,1.0,0.3353494338079965,0.6547619047619048,低重要性低缺口 = 观察即可,0.0,2
BJ20_14,北京天文馆,现场服务与导览体验,0,182,28,13,37,0.6726044089956695,0.7298519795661106,300,0.5505443682582035,8,0.6066666666666667,0.09333333333333334,0.043333333333333335,0.12333333333333334,0.15384615384615385,0.2032967032967033,0.09333333333333334,0.0,0.9642857142857143,0.0357142857142857,0.3353494338079965,0.6547619047619048,低重要性高缺口 = 次级改进,0.0,3
