official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_06,明十三陵,皇家文化类,node_10123197422,node,10123197422,静莲斋,food_retail,food_retail,40.2490275,116.237386,1830.07,"{""amenity"": ""restaurant"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""only"", ""name"": ""静莲斋""}"
BJ20_06,明十三陵,皇家文化类,node_10123197423,node,10123197423,孝顺椅,nearby_attractions,nearby_attractions,40.248615,116.2381947,1912.5,"{""name"": ""孝顺椅"", ""tourism"": ""attraction""}"
BJ20_06,明十三陵,皇家文化类,node_11096256371,node,11096256371,昌平胡庄,bus,transport,40.2659555,116.2251924,890.04,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""昌平胡庄"", ""name:zh"": ""昌平胡庄"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11096256372,node,11096256372,昌平胡庄,bus,transport,40.2658895,116.2254293,893.49,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""昌平胡庄"", ""name:zh"": ""昌平胡庄"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11096256374,node,11096256374,昌平王庄,bus,transport,40.2598132,116.219576,109.95,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""昌平王庄"", ""name:zh"": ""昌平王庄"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11096256375,node,11096256375,昌平王庄,transport,transport,40.2598034,116.2196435,106.48,"{""bus"": ""yes"", ""name"": ""昌平王庄"", ""name:zh"": ""昌平王庄"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11096256376,node,11096256376,昌平王庄,transport,transport,40.2595936,116.2217771,155.54,"{""bus"": ""yes"", ""name"": ""昌平王庄"", ""name:zh"": ""昌平王庄"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11096256377,node,11096256377,昌平王庄,bus,transport,40.2595536,116.2218588,159.7,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""昌平王庄"", ""name:zh"": ""昌平王庄"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11096404201,node,11096404201,南新村,transport,transport,40.2543649,116.2188032,520.72,"{""bus"": ""yes"", ""name"": ""南新村"", ""name:zh"": ""南新村"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11096404202,node,11096404202,南新村,bus,transport,40.2543339,116.218878,522.72,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""南新村"", ""name:zh"": ""南新村"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11449167788,node,11449167788,昌平胡庄,bus,transport,40.2678733,116.2282544,1208.31,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""昌平胡庄"", ""name:zh"": ""昌平胡庄"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11449167789,node,11449167789,昌平胡庄,bus,transport,40.2678323,116.2280619,1195.33,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""昌平胡庄"", ""name:zh"": ""昌平胡庄"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11601344428,node,11601344428,大宫门村西,transport,transport,40.2475615,116.2104981,1507.01,"{""bus"": ""yes"", ""name"": ""大宫门村西"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11601344429,node,11601344429,大宫门村西,bus,transport,40.2475419,116.2105512,1506.39,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""大宫门村西"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11601344430,node,11601344430,大宫门村西,transport,transport,40.247861,116.2105155,1478.36,"{""bus"": ""yes"", ""name"": ""大宫门村西"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11601344431,node,11601344431,大宫门村西,bus,transport,40.2478566,116.2104585,1481.45,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""大宫门村西"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11601402431,node,11601402431,康陵园村东,transport,transport,40.2607632,116.2115939,755.08,"{""bus"": ""yes"", ""name"": ""康陵园村东"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11601402432,node,11601402432,康陵园村东,bus,transport,40.2607543,116.2115384,759.35,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""康陵园村东"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11601402433,node,11601402433,康陵园村东,transport,transport,40.2618479,116.2116711,790.15,"{""bus"": ""yes"", ""name"": ""康陵园村东"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11601402434,node,11601402434,康陵园村东,bus,transport,40.2618348,116.2117221,785.6,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""康陵园村东"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11601402435,node,11601402435,泰陵园村东,transport,transport,40.2700707,116.2115161,1439.59,"{""bus"": ""yes"", ""name"": ""泰陵园村东"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11601402436,node,11601402436,泰陵园村东,bus,transport,40.2700111,116.2115341,1433.11,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""泰陵园村东"", ""public_transport"": ""platform""}"
BJ20_06,明十三陵,皇家文化类,node_11601402437,node,11601402437,泰陵园村东,transport,transport,40.2701754,116.211861,1435.03,"{""bus"": ""yes"", ""name"": ""泰陵园村东"", ""public_transport"": ""stop_position""}"
BJ20_06,明十三陵,皇家文化类,node_11601402438,node,11601402438,泰陵园村东,bus,transport,40.2702034,116.2118488,1438.25,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""泰陵园村东"", ""public_transport"": ""platform""}"
