official_scenic_id,scenic_name,theme_name_cn,is_satisfaction_topic,theme_review_n,theme_issue_n,theme_high_rating_issue_n,theme_negative_n,theme_avg_sentiment_score,theme_avg_topic_prob,sample_n,priority_score,priority_rank,theme_review_share_total,theme_issue_share_total,theme_high_rating_issue_share_total,theme_negative_share_total,theme_issue_rate_within_theme,theme_negative_rate_within_theme,theme_problem_strength
BJ20_08,慕田峪长城,交通与开放空间体验,0,10,0,0,1,0.8825804503238691,0.5803167968377516,300,0.7838707017692437,1,0.03333333333333333,0.0,0.0,0.0033333333333333335,0.0,0.1,0.0
BJ20_08,慕田峪长城,现场服务与导览体验,0,30,1,1,3,0.7359151063473156,0.6372361128461655,300,0.7838707017692437,1,0.1,0.0033333333333333335,0.0033333333333333335,0.01,0.03333333333333333,0.1,0.0033333333333333335
BJ20_08,慕田峪长城,票务预约与入园体验,0,113,28,22,44,0.4190367946205266,0.6270119195567222,300,0.7838707017692437,1,0.37666666666666665,0.09333333333333334,0.07333333333333333,0.14666666666666667,0.24778761061946902,0.3893805309734513,0.09333333333333334
BJ20_08,慕田峪长城,整体满意与感知评价,1,128,31,24,43,0.4932423934689021,0.7044205508524554,300,0.7838707017692437,1,0.4266666666666667,0.10333333333333333,0.08,0.14333333333333334,0.2421875,0.3359375,0.10333333333333333
BJ20_17,北京动物园,交通与开放空间体验,0,9,0,0,4,0.5541799281348047,0.6541505567981426,300,0.7837172388335178,2,0.03,0.0,0.0,0.013333333333333334,0.0,0.4444444444444444,0.0
BJ20_17,北京动物园,现场服务与导览体验,0,12,4,1,4,0.5688328819868423,0.570084782576219,300,0.7837172388335178,2,0.04,0.013333333333333334,0.0033333333333333335,0.013333333333333334,0.3333333333333333,0.3333333333333333,0.013333333333333334
BJ20_17,北京动物园,票务预约与入园体验,0,201,60,37,99,0.37802135656554187,0.6835748249678908,300,0.7837172388335178,2,0.67,0.2,0.12333333333333334,0.33,0.29850746268656714,0.4925373134328358,0.2
BJ20_17,北京动物园,整体满意与感知评价,1,41,8,4,13,0.5648787985694299,0.6175214003870124,300,0.7837172388335178,2,0.13666666666666666,0.02666666666666667,0.013333333333333334,0.043333333333333335,0.1951219512195122,0.3170731707317073,0.02666666666666667
BJ20_07,八达岭长城,交通与开放空间体验,0,14,1,1,2,0.8179600953762453,0.5636179964091597,300,0.6832780862590125,3,0.04666666666666667,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,0.07142857142857142,0.14285714285714285,0.0033333333333333335
BJ20_07,八达岭长城,现场服务与导览体验,0,53,2,2,4,0.8287784660081344,0.7522474287757869,300,0.6832780862590125,3,0.17666666666666667,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.03773584905660377,0.07547169811320754,0.006666666666666667
BJ20_07,八达岭长城,票务预约与入园体验,0,88,22,11,36,0.4296112403979937,0.6209030824961856,300,0.6832780862590125,3,0.29333333333333333,0.07333333333333333,0.03666666666666667,0.12,0.25,0.4090909090909091,0.07333333333333333
BJ20_07,八达岭长城,整体满意与感知评价,1,124,34,22,47,0.48164988095963485,0.6892118009445641,300,0.6832780862590125,3,0.41333333333333333,0.11333333333333333,0.07333333333333333,0.15666666666666668,0.27419354838709675,0.3790322580645161,0.11333333333333333
BJ20_03,天坛公园,交通与开放空间体验,0,39,3,3,1,0.8850626355686936,0.5882442928842531,300,0.669722760376873,4,0.13,0.01,0.01,0.0033333333333333335,0.07692307692307693,0.02564102564102564,0.01
