official_scenic_id,scenic_name,sample_n,avg_rating,avg_sentiment_score,avg_sentiment_index,negative_sentiment_rate,strict_issue_review_rate,issue_review_rate_hybrid,issue_divergence_rate,high_rating_share,high_rating_with_issue_rate,staff_service_rate,service_process_rate,guide_explanation_rate,queue_wait_rate,reservation_entry_rate,ticket_price_rate,traffic_access_rate,facility_hygiene_rate,crowding_rate,commercialization_rate,platform_transaction_rate,priority_score,priority_rank,priority_formula
BJ20_08,慕田峪长城,300,4.72,0.5060281428519454,0.5183333333333333,0.32666666666666666,0.21,0.21,0.16,0.9466666666666667,0.16901408450704225,0.013333333333333334,0.02,0.023333333333333334,0.07666666666666666,0.016666666666666666,0.02666666666666667,0.04,0.0033333333333333335,0.05,0.03,0.006666666666666667,0.7838707017692437,1,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_17,北京动物园,300,4.39,0.4532734987285997,0.45666666666666667,0.42333333333333334,0.25,0.25,0.14666666666666667,0.8366666666666667,0.1752988047808765,0.013333333333333334,0.0,0.013333333333333334,0.10666666666666667,0.006666666666666667,0.06,0.0,0.056666666666666664,0.07333333333333333,0.0033333333333333335,0.0,0.7837172388335178,2,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_07,八达岭长城,300,4.583333333333333,0.5518605344530028,0.5533333333333333,0.31,0.21,0.21,0.13,0.9066666666666666,0.14338235294117646,0.016666666666666666,0.013333333333333334,0.0033333333333333335,0.056666666666666664,0.013333333333333334,0.03,0.03333333333333333,0.0033333333333333335,0.09666666666666666,0.016666666666666666,0.01,0.6832780862590125,3,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_03,天坛公园,300,4.613333333333333,0.6641557567631124,0.6666666666666666,0.22333333333333333,0.19666666666666666,0.19666666666666666,0.13666666666666666,0.92,0.14855072463768115,0.006666666666666667,0.0033333333333333335,0.013333333333333334,0.016666666666666666,0.03,0.03666666666666667,0.0033333333333333335,0.0033333333333333335,0.1,0.006666666666666667,0.03666666666666667,0.669722760376873,4,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_15,中国科学技术馆,300,4.413333333333333,0.601663057683717,0.6083333333333333,0.29333333333333333,0.21666666666666667,0.21666666666666667,0.07333333333333333,0.84,0.0873015873015873,0.023333333333333334,0.02666666666666667,0.08,0.013333333333333334,0.03,0.056666666666666664,0.0033333333333333335,0.01,0.05333333333333334,0.006666666666666667,0.043333333333333335,0.5904719404943588,5,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_20,奥林匹克塔,300,4.443333333333333,0.6732015407882834,0.6833333333333333,0.24,0.21333333333333335,0.21333333333333335,0.10333333333333333,0.86,0.12015503875968993,0.02666666666666667,0.01,0.0033333333333333335,0.016666666666666666,0.01,0.14666666666666667,0.0,0.02666666666666667,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.5774219811442663,6,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_06,明十三陵,300,4.503333333333333,0.5767773247235546,0.5883333333333334,0.31333333333333335,0.19666666666666666,0.19666666666666666,0.11333333333333333,0.8766666666666667,0.12927756653992395,0.01,0.006666666666666667,0.02,0.0,0.01,0.07333333333333333,0.09333333333333334,0.006666666666666667,0.006666666666666667,0.016666666666666666,0.006666666666666667,0.5624100961997208,7,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_14,北京天文馆,300,4.36,0.5827958855187089,0.5866666666666667,0.31333333333333335,0.22333333333333333,0.22333333333333333,0.07666666666666666,0.8366666666666667,0.09163346613545817,0.02,0.03,0.12333333333333334,0.013333333333333334,0.01,0.07,0.006666666666666667,0.0033333333333333335,0.04,0.006666666666666667,0.03666666666666667,0.5505443682582035,8,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_10,司马台长城,300,4.546666666666667,0.6363475811274885,0.6516666666666666,0.24,0.14333333333333334,0.14333333333333334,0.07333333333333333,0.8933333333333333,0.08208955223880597,0.02666666666666667,0.02,0.0,0.023333333333333334,0.03,0.06333333333333334,0.02,0.0033333333333333335,0.016666666666666666,0.0,0.01,0.47780273548173924,9,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
BJ20_05,恭王府,300,4.693333333333333,0.7710838718816193,0.7833333333333333,0.12666666666666668,0.13666666666666666,0.13666666666666666,0.10666666666666667,0.9333333333333333,0.11428571428571428,0.013333333333333334,0.0,0.016666666666666666,0.006666666666666667,0.02,0.016666666666666666,0.0033333333333333335,0.013333333333333334,0.07333333333333333,0.016666666666666666,0.0033333333333333335,0.4502983599142941,10,0.30*issue_review_rate_hybrid + 0.20*issue_divergence_rate + 0.15*high_rating_with_issue_rate + 0.10*queue_wait + 0.10*reservation_entry + 0.06*service_process + 0.04*ticket_price + 0.03*traffic_access + 0.02*crowding
