theme_name_cn,theme_review_n,theme_issue_n,theme_negative_n,importance,issue_rate,negative_rate,dissatisfaction_index,performance,priority_index,importance_cut,performance_cut,quadrant,overall_priority_rank
票务预约与入园体验,1794,428,618,0.33345724907063196,0.23857302118171683,0.34448160535117056,0.2915273132664437,0.7084726867335562,0.09721189591078067,0.2369268897149938,0.8592523092717385,高重要性低表现 = 优先改进,1
现场服务与导览体验,1235,95,130,0.2295539033457249,0.07692307692307693,0.10526315789473684,0.09109311740890688,0.9089068825910931,0.02091078066914498,0.2369268897149938,0.8592523092717385,低重要性高表现 = 低优先级观察,2
交通与开放空间体验,795,26,37,0.14776951672862454,0.03270440251572327,0.04654088050314465,0.03962264150943396,0.960377358490566,0.005855018587360595,0.2369268897149938,0.8592523092717385,低重要性高表现 = 低优先级观察,3
