category_name,scenic_n,mean_total_priority_index,mean_mean_dissatisfaction,dominant_governance_theme,priority_index__票务预约与入园体验,priority_index__现场服务与导览体验,priority_index__交通与开放空间体验
博物馆 / 纪念馆 / 科普场馆类,3,0.17134532083389634,0.2511175339829041,现场服务与导览体验,0.08015795453459527,0.08624851197180113,0.004938854327499934
城市公园 / 园林 / 动植物观赏类,3,0.15336788704798257,0.21277369987786623,票务预约与入园体验,0.141140724182122,0.008443869169293133,0.0037832936965674665
皇家文化类,6,0.12533380271970893,0.14475122999467968,票务预约与入园体验,0.10353964544305082,0.016769779435683616,0.005024377840974517
现代城市地标与事件遗产类,2,0.11646870286576154,0.2418865450663696,票务预约与入园体验,0.0898748922645981,0.00458885477267825,0.0220049558284852
长城关隘类,4,0.09660277935467283,0.11908533992238866,票务预约与入园体验,0.08945482695994783,0.00492043002434035,0.00222752237038465
宗教古建类,2,0.0706476840887811,0.062403832580463,票务预约与入园体验,0.0641797929173321,0.00276752767527675,0.00370036349617225
