official_scenic_id,scenic_name,priority_index__交通与开放空间体验,priority_index__现场服务与导览体验,priority_index__票务预约与入园体验,dissatisfaction__交通与开放空间体验,dissatisfaction__现场服务与导览体验,dissatisfaction__票务预约与入园体验,category_name,total_priority_index,mean_dissatisfaction,cluster_id,pca_x,pca_y,cluster_name
BJ20_19,国家游泳中心,0.0293040293040293,0.0036630036630036,0.108058608058608,0.074074074074074,0.1428571428571428,0.5267857142857143,现代城市地标与事件遗产类,0.14102564102564089,0.24790564373897703,2,1.796243216971583,-0.8065908815005781,整体低压稳态型
BJ20_20,奥林匹克塔,0.0147058823529411,0.0055147058823529,0.0716911764705882,0.0444444444444444,0.15,0.5131578947368421,现代城市地标与事件遗产类,0.09191176470588219,0.2358674463937622,2,0.5887104684249402,0.14404398437055008,整体低压稳态型
BJ20_03,天坛公园,0.0072992700729927,0.0018248175182481,0.1551094890510949,0.0512820512820512,0.0125,0.3541666666666667,皇家文化类,0.16423357664233568,0.1393162393162393,0,0.04970670443056055,-0.6294136376560711,整体低压稳态型2
BJ20_08,慕田峪长城,0.0017793594306049,0.0071174377224199,0.1281138790035587,0.05,0.0666666666666666,0.3185840707964602,长城关隘类,0.1370106761565835,0.14508357915437559,0,-0.32465061094069764,-0.2719284245919993,整体低压稳态型2
BJ20_07,八达岭长城,0.0053763440860215,0.010752688172043,0.1039426523297491,0.1071428571428571,0.0566037735849056,0.3295454545454546,长城关隘类,0.1200716845878136,0.16443069509107242,0,0.0134604059800475,-0.2583004606988254,整体低压稳态型2
BJ20_11,潭柘寺,0.001865671641791,0.0,0.0951492537313432,0.0238095238095238,0.0,0.1385869565217391,宗教古建类,0.09701492537313419,0.05413216011042097,0,-1.9728385580103365,-0.5178055713552707,整体低压稳态型2
BJ20_02,颐和园,0.0019920318725099,0.0219123505976095,0.0717131474103585,0.0087719298245614,0.0518867924528301,0.3461538461538461,皇家文化类,0.0956175298804779,0.1356041894770792,0,-1.0062093642191177,0.675112443036597,整体低压稳态型2
BJ20_10,司马台长城,0.0017543859649122,0.0,0.087719298245614,0.0238095238095238,0.0,0.2659574468085106,长城关隘类,0.0894736842105262,0.09658899020601146,0,-1.5635483845996576,-0.05884225771131064,整体低压稳态型2
BJ20_05,恭王府,0.003731343283582,0.0205223880597014,0.0615671641791044,0.0434782608695652,0.0447154471544715,0.25,皇家文化类,0.0858208955223878,0.11273123600801223,0,-1.2245308422035646,0.2829550277194568,整体低压稳态型2
BJ20_01,故宫博物院,0.0,0.0262237762237762,0.0576923076923077,0.0,0.0360576923076923,0.3235294117647059,皇家文化类,0.0839160839160839,0.11986236802413273,0,-1.4028309074559884,0.9266354241697545,整体低压稳态型2
BJ20_04,景山公园,0.003610108303249,0.0108303249097472,0.0685920577617328,0.010204081632653,0.034090909090909,0.3518518518518518,皇家文化类,0.08303249097472899,0.13204894752513793,0,-1.176284107087389,0.47471076990498823,整体低压稳态型2
BJ20_16,香山公园,0.0,0.0045045045045045,0.0743243243243243,0.0,0.25,0.2426470588235294,城市公园 / 园林 / 动植物观赏类,0.0788288288288288,0.1642156862745098,0,-0.9454001149438235,-0.1617998865776398,整体低压稳态型2
BJ20_18,玉渊潭公园,0.0037453183520599,0.0056179775280898,0.046816479400749,0.0123456790123456,0.375,0.0838926174496644,城市公园 / 园林 / 动植物观赏类,0.056179775280898694,0.15707943215400336,0,-1.104808439529181,-0.7668239721529129,整体低压稳态型2
BJ20_13,首都博物馆,0.003690036900369,0.0202952029520295,0.0239852398523985,0.0079365079365079,0.0774647887323943,0.1756756756756756,博物馆 / 纪念馆 / 科普场馆类,0.047970479704797,0.08702565744819261,0,-2.0732478454402075,0.41379927709143677,整体低压稳态型2
BJ20_12,红螺寺,0.0055350553505535,0.0055350553505535,0.033210332103321,0.0833333333333333,0.046875,0.0818181818181818,宗教古建类,0.044280442804428,0.07067550505050503,0,-2.0461215687765564,-0.45635138534559283,整体低压稳态型2
BJ20_09,居庸关长城,0.0,0.0018115942028985,0.0380434782608695,0.0,0.0357142857142857,0.175,长城关隘类,0.039855072463768,0.07023809523809522,0,-2.555884438758759,0.19037584970731394,整体低压稳态型2
BJ20_14,北京天文馆,0.0037735849056603,0.1226415094339622,0.1264150943396226,0.0833333333333333,0.1785714285714285,0.7613636363636364,博物馆 / 纪念馆 / 科普场馆类,0.2528301886792451,0.34108946608946605,3,3.816690671250639,2.8662763416675903,服务票务复合型
BJ20_15,中国科学技术馆,0.0073529411764705,0.1158088235294117,0.0900735294117647,0.2,0.1632124352331606,0.6125,博物馆 / 纪念馆 / 科普场馆类,0.2132352941176469,0.3252374784110535,3,3.6557626796721063,2.143642856464201,服务票务复合型
BJ20_17,北京动物园,0.0076045627376425,0.0152091254752851,0.3022813688212927,0.2222222222222222,0.3333333333333333,0.3955223880597014,城市公园 / 园林 / 动植物观赏类,0.32509505703422026,0.3170259812050856,1,4.684358073995452,-2.4245342409991997,票务高压治理型
BJ20_06,明十三陵,0.0135135135135135,0.0193050193050193,0.2065637065637065,0.21875,0.1515151515151515,0.3165680473372781,皇家文化类,0.2393822393822393,0.22894439961747656,1,2.7914229612399506,-1.7651612555424874,票务高压治理型
