group_name,sample_n,ticket_index_mean,zoo_index_mean
工作日非假期,1751,274.3415191319246,972.0022844089092
周末,753,296.7423638778221,1034.6879150066402
法定节假日,837,310.80764635603344,1075.1254480286739
学校假期,855,290.30526315789473,1029.0608187134503
高压日(前10%),265,862.8566037735849,1866.856603773585
