k,silhouette_score,inertia,is_selected
2,0.4054392433352775,89.84297607843861,1
4,0.3630655108890813,46.79242354388851,0
5,0.3579377002044244,33.84250020973204,0
3,0.3331518645410879,67.96209997803852,0
